code,system
A173200,readv2
A173400,readv2
A532100,readv2
A544200,readv2
F4A1.00,readv2
A544300,readv2
A55x000,readv2
A771.00,readv2
A776.00,readv2
F4A..11,readv2
F4A3000,readv2
F4A3300,readv2
F4A3400,readv2
A903.00,readv2
F4A5.00,readv2
F4A5100,readv2
F4A5z00,readv2
A984300,readv2
AD67000,readv2
F4A..00,readv2
F4A2200,readv2
F4A2300,readv2
F4A2400,readv2
F4A2500,readv2
F4A5200,readv2
F4A5400,readv2
F4A5500,readv2
F4Az.00,readv2
101578.0,med
10408.0,med
107617.0,med
1082.0,med
11319.0,med
12131.0,med
15686.0,med
16413.0,med
20305.0,med
20491.0,med
24948.0,med
27545.0,med
27546.0,med
27749.0,med
27797.0,med
27900.0,med
29763.0,med
30358.0,med
35193.0,med
3581.0,med
35865.0,med
39445.0,med
40792.0,med
44027.0,med
44620.0,med
45168.0,med
45610.0,med
48197.0,med
49802.0,med
50273.0,med
515.0,med
5176.0,med
53785.0,med
55629.0,med
56042.0,med
6749.0,med
72172.0,med
72393.0,med
7287.0,med
72913.0,med
90575.0,med
9279.0,med
94249.0,med
94899.0,med
F4A2.00,readv2
F4A2z00,readv2
FyuD100,readv2
F4A2000,readv2
F4A4000,readv2
F4A5000,readv2
F4A2100,readv2
F4A2112,readv2
F4A3.00,readv2
F4A3z00,readv2
F4A4.00,readv2
F4A4100,readv2
F4A4z00,readv2
F4Ay.00,readv2
FyuD200,readv2
FyuDA00,readv2
H16,icd10
H19.1,icd10
H19.2,icd10
H19.3,icd10
